plot,treatment,ASV_Association,Abundance
1,no_manure_strip,Crop_associated,0.04120
1,no_manure_strip,Manure_associated,0.00177
1,no_manure_strip,No_unique_association,0.83421
1,no_manure_strip,Strip_associated,0.12283
2,no_manure_strip,Crop_associated,0.03382
2,no_manure_strip,Manure_associated,0.00141
2,no_manure_strip,No_unique_association,0.86022
2,no_manure_strip,Strip_associated,0.10456
3,no_manure_strip,Crop_associated,0.05135
3,no_manure_strip,Manure_associated,0.00103
3,no_manure_strip,No_unique_association,0.81894
3,no_manure_strip,Strip_associated,0.12867
4,manured_strip,Crop_associated,0.01707
4,manured_strip,Manure_associated,0.65600
4,manured_strip,No_unique_association,0.28979
4,manured_strip,Strip_associated,0.03714
5,manured_strip,Crop_associated,0.04689
5,manured_strip,Manure_associated,0.02945
5,manured_strip,No_unique_association,0.79335
5,manured_strip,Strip_associated,0.13032
6,manured_strip,Crop_associated,0.04325
6,manured_strip,Manure_associated,0.00803
6,manured_strip,No_unique_association,0.82988
6,manured_strip,Strip_associated,0.11884
7,manured_control,Crop_associated,0.08985
7,manured_control,Manure_associated,0.15714
7,manured_control,No_unique_association,0.71352
7,manured_control,Strip_associated,0.03949
8,manured_control,Crop_associated,0.04357
8,manured_control,Manure_associated,0.14244
8,manured_control,No_unique_association,0.78832
8,manured_control,Strip_associated,0.02567
9,manured_control,Crop_associated,0.02874
9,manured_control,Manure_associated,0.48330
9,manured_control,No_unique_association,0.47764
9,manured_control,Strip_associated,0.01032
