experiment,soil_type,sample_day,depth,Mean_sample_sums,n_samples
Armstrong_Rainfall,crop,Baseline,1,17785.333333333332,12
Armstrong_Rainfall,crop,Baseline,2,20731,11
Armstrong_Rainfall,crop,T000,1,11276.333333333334,12
Armstrong_Rainfall,crop,T000,2,15281.916666666666,12
Armstrong_Rainfall,crop,T002,1,13346.75,12
Armstrong_Rainfall,crop,T002,2,16613.916666666668,12
Armstrong_Rainfall,crop,T014,1,12548.75,12
Armstrong_Rainfall,crop,T014,2,19634.416666666668,12
Armstrong_Rainfall,crop,T153,1,13302.416666666666,12
Armstrong_Rainfall,crop,T153,2,17940.333333333332,12
Armstrong_Rainfall,strip,Baseline,1,16196.5,12
Armstrong_Rainfall,strip,Baseline,2,17975,12
Armstrong_Rainfall,strip,T000,1,10800.083333333334,12
Armstrong_Rainfall,strip,T000,2,14722.083333333334,12
Armstrong_Rainfall,strip,T002,1,13750.666666666666,12
Armstrong_Rainfall,strip,T002,2,17472.5,12
Armstrong_Rainfall,strip,T014,1,13906.916666666666,12
Armstrong_Rainfall,strip,T014,2,19542.833333333332,12
Armstrong_Rainfall,strip,T153,1,14298.416666666666,12
Armstrong_Rainfall,strip,T153,2,20459.5,12
Worle_Rainfall,crop,Baseline,1,11686.416666666666,12
Worle_Rainfall,crop,Baseline,2,10670,12
Worle_Rainfall,crop,T000,1,16518.916666666668,12
Worle_Rainfall,crop,T000,2,13158.833333333334,12
Worle_Rainfall,crop,T002,1,24851.636363636364,11
Worle_Rainfall,crop,T002,2,18223.75,12
Worle_Rainfall,crop,T014,1,19167.75,12
Worle_Rainfall,crop,T014,2,16671.166666666668,12
Worle_Rainfall,crop,T021,1,21227.25,12
Worle_Rainfall,crop,T021,2,16993.583333333332,12
Worle_Rainfall,crop,T042,1,21809.8,10
Worle_Rainfall,crop,T042,2,15658.083333333334,12
Worle_Rainfall,strip,Baseline,1,10232.25,12
Worle_Rainfall,strip,Baseline,2,15861,12
Worle_Rainfall,strip,T000,1,19116.166666666668,12
Worle_Rainfall,strip,T000,2,19686.916666666668,12
Worle_Rainfall,strip,T002,1,42213.083333333336,12
Worle_Rainfall,strip,T002,2,13805.333333333334,12
Worle_Rainfall,strip,T014,1,20210.5,12
Worle_Rainfall,strip,T014,2,18789.666666666668,12
Worle_Rainfall,strip,T021,1,31502.090909090908,11
Worle_Rainfall,strip,T021,2,17219.666666666668,12
Worle_Rainfall,strip,T042,1,23892.9,10
Worle_Rainfall,strip,T042,2,15749.25,12
